scenario,sample_name,target,feature_set,model,fold_start,fold_end,n_train,n_test,best_params,best_cv_roc_auc,fold_accuracy,fold_balanced_accuracy,fold_f1,fold_roc_auc
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,logreg,2023-01-01,2023-12-31,353,57,{'model__C': 1.0},0.5556861845500947,0.49122807017543857,0.48263027295285366,0.5538461538461539,0.4267990074441687
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,logreg,2024-01-01,2024-12-31,410,47,{'model__C': 5.0},0.5468887061403509,0.5319148936170213,0.6208333333333333,0.5217391304347826,0.6604166666666667
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,logreg,2025-01-01,2025-12-31,457,56,{'model__C': 5.0},0.538691593825263,0.5,0.5,0.5,0.5306122448979591
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,random_forest,2023-01-01,2023-12-31,353,57,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.5011524524000688,0.543859649122807,0.521712158808933,0.6486486486486487,0.5024813895781637
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,random_forest,2024-01-01,2024-12-31,410,47,"{'model__max_depth': 3, 'model__max_features': 0.5, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",0.5054197994987468,0.6595744680851063,0.64375,0.7333333333333333,0.675
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,random_forest,2025-01-01,2025-12-31,457,56,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.5285147307812942,0.5,0.5,0.631578947368421,0.41390306122448983
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,gradient_boosting,2023-01-01,2023-12-31,353,57,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",0.5154740996157596,0.5964912280701754,0.5700992555831266,0.7012987012987013,0.5471464019851117
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,gradient_boosting,2024-01-01,2024-12-31,410,47,"{'model__learning_rate': 0.1, 'model__max_depth': 1, 'model__n_estimators': 200}",0.5151638862781955,0.6808510638297872,0.659375,0.7540983606557377,0.6510416666666667
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_plus_event_proxies,gradient_boosting,2025-01-01,2025-12-31,457,56,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200}",0.5370882550657832,0.48214285714285715,0.48214285714285715,0.6027397260273972,0.42091836734693877
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,logreg,2023-01-01,2023-12-31,353,57,{'model__C': 5.0},0.551122344009864,0.3333333333333333,0.359181141439206,0.09523809523809523,0.38213399503722084
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,logreg,2024-01-01,2024-12-31,410,47,{'model__C': 1.0},0.5400963345864661,0.5106382978723404,0.6229166666666667,0.46511627906976744,0.6708333333333334
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,logreg,2025-01-01,2025-12-31,457,56,{'model__C': 5.0},0.5273249760270295,0.48214285714285715,0.4821428571428571,0.6133333333333333,0.5803571428571429
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,random_forest,2023-01-01,2023-12-31,353,57,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.49331020244308077,0.5964912280701754,0.5732009925558312,0.6933333333333334,0.5490074441687345
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,random_forest,2024-01-01,2024-12-31,410,47,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.5086769658521304,0.6170212765957447,0.6125,0.6896551724137931,0.7166666666666667
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,random_forest,2025-01-01,2025-12-31,457,56,"{'model__max_depth': 3, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.5254781939400305,0.5178571428571429,0.5178571428571428,0.6301369863013698,0.44642857142857145
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,gradient_boosting,2023-01-01,2023-12-31,353,57,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",0.510194915983254,0.6140350877192983,0.5955334987593052,0.6944444444444444,0.5372208436724566
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,gradient_boosting,2024-01-01,2024-12-31,410,47,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",0.5259398496240602,0.6595744680851063,0.6614583333333333,0.7241379310344828,0.7000000000000001
next_day_large_move_high_impact_days,high_impact_days_only,next_large_move_direction,controls_event_regimes,gradient_boosting,2025-01-01,2025-12-31,457,56,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",0.5402903437773643,0.48214285714285715,0.48214285714285715,0.6027397260273972,0.4604591836734694
