date_only,post_count,vader_mean,vader_std,vader_max_pos,vader_max_neg,finbert_mean,finbert_std,caps_ratio_mean,exclamation_mean,exclamation_max,max_engagement,mean_word_count,topic_trade,topic_fed,topic_energy,topic_tax,topic_sanctions,topic_market_direct,topic_immigration,topic_geopolitics,post_count_premarket,vader_mean_premarket,vader_std_premarket,vader_max_pos_premarket,vader_max_neg_premarket,finbert_mean_premarket,finbert_std_premarket,caps_ratio_mean_premarket,exclamation_mean_premarket,exclamation_max_premarket,max_engagement_premarket,mean_word_count_premarket,topic_trade_premarket,topic_fed_premarket,topic_energy_premarket,topic_tax_premarket,topic_sanctions_premarket,topic_market_direct_premarket,topic_immigration_premarket,topic_geopolitics_premarket,vader_3d_rolling,vader_7d_rolling,vader_momentum,emb_diversity,dominant_cluster,novelty_score
2009-05-04,2,0.64835,0.17373613613753475,0.7712,0.5255,0.041841608472168446,0.004594118440253807,0.09906304899472965,1.0,1,7.278628942320682,22.5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.64835,0.64835,0.0,0.02002314,cluster_10,
2009-05-08,2,0.3234,0.457356666071459,0.6468,0.0,0.05083176027983427,0.01772630462208503,0.12002357255107386,0.5,1,3.8918202981106265,15.0,0,0,0,0,0,0,0,0,1.0,0.6468,,0.6468,0.6468,0.038297370076179504,,0.11956521739130435,1.0,1.0,3.8918202981106265,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485875,0.485875,-0.16247499999999998,0.021903167,cluster_10,
2009-05-12,2,0.24045,0.3400476510726107,0.4809,0.0,-0.10933761298656464,0.16750478901930105,0.0847046723479283,0.0,0,8.086410275323782,20.5,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,0.40406666666666663,0.40406666666666663,-0.16361666666666663,0.024908155,cluster_12,
2009-05-13,1,0.7506,,0.7506,0.7506,0.08480226341634989,,0.07777777777777778,0.0,0,3.4657359027997265,16.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.43815000000000004,0.4907,0.31245,0.0,immigration,
2009-05-14,1,0.2023,,0.2023,0.2023,0.013669794425368309,,0.05,0.0,0,3.7376696182833684,14.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.3977833333333334,0.43302000000000007,-0.19548333333333337,0.0,fed_rates,
2009-05-15,1,0.7506,,0.7506,0.7506,0.04036811739206314,,0.05319148936170213,0.0,0,3.9512437185814275,12.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.5678333333333333,0.48595000000000005,0.18276666666666674,0.0,immigration,
2009-05-16,1,0.0,,0.0,0.0,0.02161354385316372,,0.04878048780487805,0.0,0,4.189654742026425,15.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.3176333333333334,0.41652857142857147,-0.3176333333333334,0.0,fed_rates,
2009-05-17,1,0.7717,,0.7717,0.7717,-0.024466082453727722,,0.0449438202247191,0.0,0,4.6913478822291435,19.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.5074333333333334,0.4341500000000001,0.26426666666666665,0.0,fed_rates,
2009-05-18,1,0.5859,,0.5859,0.5859,0.02569296397268772,,0.04938271604938271,0.0,0,5.267858159063328,17.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.4525333333333334,0.47165,0.13336666666666658,0.0,fed_rates,
2009-05-19,1,0.0,,0.0,0.0,0.058285946026444435,,0.03125,0.0,0,3.8066624897703196,15.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.4525333333333334,0.4373,-0.4525333333333334,0.0,fed_rates,
