feature,coef,hac_se,t_stat,p_value,n,p_bonferroni,significant
VADER Sentiment,-0.00045666924374630964,0.000744987524353446,-0.6129891156803468,0.5399231047857965,3525,1.0,False
FinBERT Polarity,-0.0014477924920890703,0.0010978043674548196,-1.3188073713403718,0.1873192378539962,3525,0.936596189269981,False
Post Count,1.3146339251252442e-05,1.1155842290286452e-05,1.1784264163270883,0.23870623936068638,3525,1.0,False
Novelty Score,-0.0005830172190918398,0.001290420542922844,-0.451804043487472,0.6514380564998133,3514,1.0,False
VADER Std,0.0002342778207509968,0.001324634617485137,0.17686222121824136,0.8596274443527795,3309,1.0,False
