Date,Close,High,Low,Open,Volume
2008-04-07,1372.54,1386.74,1369.02,1373.69,3747780000
2008-04-08,1365.54,1370.16,1360.62,1370.16,3602500000
2008-04-09,1354.49,1368.39,1349.97,1365.5,3556670000
2008-04-10,1360.55,1367.24,1350.11,1355.37,3686150000
2008-04-11,1332.83,1357.98,1331.21,1357.98,3723790000
2008-04-14,1328.32,1335.64,1326.16,1332.2,3565020000
2008-04-15,1334.43,1337.72,1324.35,1331.72,3581230000
2008-04-16,1364.71,1365.49,1337.02,1337.02,4260370000
2008-04-17,1365.56,1368.6,1357.25,1363.37,3713880000
2008-04-18,1390.33,1395.9,1369.0,1369.0,4222380000
2008-04-21,1388.17,1390.23,1379.25,1387.72,3420570000
2008-04-22,1375.94,1386.43,1369.84,1386.43,3821900000
2008-04-23,1379.93,1387.87,1372.24,1378.4,4103610000
2008-04-24,1388.82,1397.72,1371.09,1380.52,4461660000
2008-04-25,1397.84,1399.11,1379.98,1387.88,3891150000
2008-04-28,1396.37,1402.9,1394.4,1397.96,3607000000
2008-04-29,1390.94,1397.0,1386.7,1395.61,3815320000
2008-04-30,1385.59,1404.57,1384.25,1391.22,4508890000
2008-05-01,1409.34,1410.07,1383.07,1385.97,4448780000
2008-05-02,1413.9,1422.72,1406.25,1409.16,3953030000
2008-05-05,1407.49,1415.34,1404.37,1415.34,3410090000
2008-05-06,1418.26,1421.57,1397.1,1405.6,3924100000
2008-05-07,1392.57,1419.54,1391.16,1417.49,4075860000
2008-05-08,1397.68,1402.35,1389.39,1394.29,3827550000
2008-05-09,1388.28,1394.9,1384.11,1394.9,3518620000
2008-05-12,1403.58,1404.06,1386.2,1389.4,3370630000
2008-05-13,1403.04,1406.3,1396.26,1404.4,4018590000
2008-05-14,1408.66,1420.19,1405.65,1405.65,3979370000
2008-05-15,1423.57,1424.4,1406.87,1408.36,3836480000
2008-05-16,1425.35,1425.82,1414.35,1423.89,3842590000
2008-05-19,1426.63,1440.24,1421.63,1425.28,3683970000
2008-05-20,1413.4,1424.49,1409.09,1424.49,3854320000
2008-05-21,1390.71,1419.12,1388.81,1414.06,4517990000
2008-05-22,1394.35,1399.07,1390.23,1390.83,3955960000
2008-05-23,1375.93,1392.2,1373.72,1392.2,3516380000
2008-05-27,1385.35,1387.4,1373.07,1375.97,3588860000
2008-05-28,1390.84,1391.25,1378.16,1386.54,3927240000
2008-05-29,1398.26,1406.32,1388.59,1390.5,3894440000
